UK Minimum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
All 2017 data are provisional.  Last updated 02/01/2018.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1998    1.6    3.8    3.5    3.2    7.2    9.0   10.5   10.3    9.9    6.0    2.2    1.9    2.63   4.62   9.94   6.06    5.77
1999    1.8    1.4    2.9    4.5    7.5    8.3   11.3   10.7   10.3    6.5    4.0    0.8    1.69   4.96  10.10   6.93    5.85
2000    1.4    2.0    3.1    3.0    6.3    9.1   10.1   10.8    9.9    6.1    3.0    2.3    1.41   4.15  10.02   6.34    5.61
2001   -0.1    0.1    0.8    2.9    6.5    8.4   11.1   11.1    8.9    9.4    3.6    0.0    0.79   3.41  10.23   7.31    5.26
2002    2.1    2.5    2.8    3.9    6.8    9.4   10.4   11.6    9.0    5.3    5.0    2.8    1.51   4.51  10.49   6.42    5.99
2003    1.0    0.0    2.2    4.2    6.7   10.1   12.1   11.7    8.3    4.3    4.4    1.3    1.33   4.35  11.34   5.63    5.55
2004    1.7    1.4    2.1    4.8    6.5    9.9   10.4   12.2    9.7    6.3    4.4    2.0    1.45   4.48  10.84   6.79    5.97
2005    2.5    1.0    3.2    3.9    5.7    9.8   11.3   10.4    9.9    8.8    2.2    1.3    1.88   4.31  10.53   6.97    5.88
2006    1.3    0.7    0.8    3.5    6.5    9.7   12.5   11.2   11.3    8.5    4.0    2.9    1.11   3.59  11.14   7.95    6.11
2007    3.2    2.2    2.5    5.3    6.5    9.9   10.5   10.3    8.8    6.7    3.9    1.5    2.79   4.78  10.22   6.45    5.95
2008    2.5    1.0    1.8    3.1    7.6    8.7   11.3   11.8    8.9    5.1    3.5    0.2    1.64   4.15  10.61   5.84    5.47
2009    0.0    1.0    2.3    4.6    6.5    9.0   11.2   11.5    9.5    7.1    4.6   -0.7    0.39   4.42  10.58   7.06    5.55
2010   -1.7   -1.1    1.3    3.3    5.2    9.3   11.6   10.2    9.1    6.0    1.5   -4.1   -1.18   3.23  10.40   5.53    4.24
2011    0.4    2.6    1.9    5.7    6.9    8.3    9.7   10.3   10.1    8.0    5.8    2.1   -0.46   4.80   9.43   7.97    5.98
2012    1.8    1.2    3.4    2.5    6.0    8.8   10.4   11.4    8.1    4.8    2.8    1.1    1.73   4.00  10.19   5.23    5.21
2013    1.0   -0.1   -0.7    2.2    5.2    8.6   11.9   11.4    8.9    8.3    2.4    2.8    0.68   2.26  10.66   6.56    5.21
2014    2.1    2.5    2.9    5.3    7.3    9.9   11.5    9.9    9.7    7.9    4.8    1.5    2.48   5.17  10.45   7.47    6.30
2015    0.8    0.5    2.0    3.0    5.7    8.2   10.3   10.6    7.7    6.4    5.3    5.2    0.97   3.57   9.70   6.46    5.51
2016    1.8    0.7    1.7    2.5    6.8   10.1   11.3   11.4   11.0    6.3    1.7    2.9    2.63   3.67  10.92   6.33    5.70
2017    1.0    2.6    3.7    3.9    7.5   10.6   11.0   10.6    9.0    8.2    2.8    1.3    2.16   5.01  10.74   6.68    6.03
